Ingredient_name,Category,calories,protein,fats,carbohydrates,fiber,vitamins,Minerals,Notes / Aliases
tomato,Vegetable,18,0.9,0.2,3.9,1.2,"Vitamin C, Vitamin A, Vitamin K","Potassium, Folate",
onion,Vegetable,40,1.1,0.1,9.3,1.7,"Vitamin C, Vitamin B6","Potassium, Folate",
red onion,Vegetable,40,1.1,0.1,9.3,1.7,"Vitamin C, Vitamin B6","Potassium, Folate",
shallot,Vegetable,72,2.5,0.1,16.8,3.2,"Vitamin C, Vitamin B6, Vitamin A","Potassium, Iron, Folate",
spring onion,Vegetable,32,1.8,0.2,7.3,2.6,"Vitamin C, Vitamin K, Vitamin A","Calcium, Iron",also called scallion or green onion
potato,Vegetable,77,2,0.1,17,2.2,"Vitamin C, Vitamin B6","Potassium, Magnesium",
sweet potato,Vegetable,86,1.6,0.1,20,3,"Vitamin A, Vitamin C, Vitamin B6","Potassium, Manganese",
purple yam,Vegetable,118,1.5,0.1,27.9,4.1,"Vitamin C, Vitamin B6","Potassium, Manganese",also called ube
yam,Vegetable,118,1.5,0.1,27.9,4.1,"Vitamin C, Vitamin B6","Potassium, Manganese",
taro root,Vegetable,112,1.5,0.2,26.5,4.1,"Vitamin C, Vitamin B6, Vitamin E","Potassium, Magnesium, Manganese",also called arbi or colocasia
colocasia,Vegetable,112,1.5,0.2,26.5,4.1,"Vitamin C, Vitamin B6, Vitamin E","Potassium, Magnesium, Manganese",same as taro root or arbi
green bell pepper,Vegetable,20,0.9,0.2,4.6,1.7,"Vitamin C, Vitamin B6, Vitamin A","Potassium, Folate",
red bell pepper,Vegetable,31,1,0.3,6,2.1,"Vitamin C, Vitamin A, Vitamin B6","Potassium, Folate",
yellow bell pepper,Vegetable,27,1,0.2,6.3,0.9,"Vitamin C, Vitamin B6","Potassium, Folate",
carrot,Vegetable,41,0.9,0.2,10,2.8,"Vitamin A, Vitamin K, Vitamin C","Potassium, Biotin",
cauliflower,Vegetable,25,1.9,0.3,5,2,"Vitamin C, Vitamin K, Vitamin B6","Folate, Potassium",
broccoli,Vegetable,34,2.8,0.4,6.6,2.6,"Vitamin C, Vitamin K, Vitamin A","Folate, Potassium, Iron",
cabbage,Vegetable,25,1.3,0.1,5.8,2.5,"Vitamin C, Vitamin K, Vitamin B6","Folate, Manganese",
red cabbage,Vegetable,31,1.4,0.2,7.4,2.1,"Vitamin C, Vitamin K, Vitamin A","Potassium, Manganese",
spinach,Leafy Vegetable,23,2.9,0.4,3.6,2.2,"Vitamin K, Vitamin A, Vitamin C, Vitamin B9","Iron, Calcium, Magnesium, Potassium",
fenugreek leaves,Leafy Vegetable,49,4.4,0.9,6,2.7,"Vitamin C, Vitamin A, Vitamin K","Iron, Calcium, Magnesium",also called methi leaves
mustard greens,Leafy Vegetable,27,2.7,0.4,4.7,3.2,"Vitamin K, Vitamin A, Vitamin C","Calcium, Potassium, Folate",also called sarson
amaranth leaves,Leafy Vegetable,23,2.5,0.3,4,2.1,"Vitamin A, Vitamin C, Vitamin K","Calcium, Iron, Magnesium",also called chaulai
drumstick leaves,Leafy Vegetable,64,9.4,1.4,8.3,2,"Vitamin A, Vitamin C, Vitamin B6","Calcium, Iron, Potassium",moringa leaves
curry leaves,Leafy Vegetable,108,6.1,1,18.7,6.4,"Vitamin A, Vitamin C, Vitamin B2","Calcium, Iron, Phosphorus",
coriander leaves,Leafy Vegetable,23,2.1,0.5,3.7,2.8,"Vitamin K, Vitamin A, Vitamin C","Potassium, Calcium, Manganese",also called cilantro or dhania
mint leaves,Leafy Vegetable,70,3.8,0.9,14.9,8,"Vitamin A, Vitamin C, Vitamin B2","Iron, Calcium, Manganese",also called pudina
curry leaf,Leafy Vegetable,108,6.1,1,18.7,6.4,"Vitamin A, Vitamin C","Calcium, Iron",
drumstick,Vegetable,37,2.1,0.2,8.5,3.2,"Vitamin C, Vitamin A, Vitamin B6","Calcium, Potassium, Iron",moringa pods or sahjan
bitter gourd,Vegetable,17,1,0.2,3.7,2.8,"Vitamin C, Vitamin A, Vitamin B6","Iron, Potassium, Zinc",also called karela
bottle gourd,Vegetable,14,0.6,0.1,3.4,0.5,"Vitamin C, Vitamin B5","Calcium, Iron, Potassium",also called lauki or doodhi
ridge gourd,Vegetable,20,1.2,0.1,3.6,0.5,"Vitamin C, Vitamin B6","Calcium, Iron, Magnesium",also called turai
sponge gourd,Vegetable,20,1.2,0.1,3.6,0.5,"Vitamin C, Vitamin B6","Calcium, Iron",also called ghia turai
pointed gourd,Vegetable,20,2,0.3,2.2,3,"Vitamin C, Vitamin A","Calcium, Phosphorus",also called parwal
snake gourd,Vegetable,18,0.5,0.3,3.3,0.6,"Vitamin C, Vitamin B1","Calcium, Iron, Phosphorus",also called chichinda
ash gourd,Vegetable,13,0.4,0.1,3,0.4,"Vitamin C, Vitamin B3","Calcium, Iron, Phosphorus",also called winter melon or petha
ivy gourd,Vegetable,18,1.4,0.1,3.1,1.6,"Vitamin C, Vitamin A","Calcium, Iron, Phosphorus",also called tindora or kundru
cluster beans,Vegetable,16,3.2,0.4,1,0,"Vitamin C, Vitamin K","Calcium, Iron, Phosphorus",also called guar phali
french beans,Vegetable,31,1.8,0.1,7.1,3.4,"Vitamin C, Vitamin K, Vitamin B6","Iron, Calcium, Folate",
broad beans,Vegetable,88,7.9,0.7,15.7,5.4,"Vitamin C, Vitamin B1, Vitamin B6","Iron, Potassium, Magnesium",also called fava beans or sem
yard long beans,Vegetable,47,2.8,0.4,8.4,0,"Vitamin C, Vitamin A","Iron, Calcium, Potassium",also called lobia phali
okra,Vegetable,33,1.9,0.2,7.5,3.2,"Vitamin C, Vitamin K, Vitamin B6","Folate, Calcium, Magnesium",also called ladies finger or bhindi
eggplant,Vegetable,25,1,0.2,5.9,3,"Vitamin C, Vitamin B6, Vitamin K","Potassium, Manganese, Folate",also called brinjal or baingan
mushroom,Vegetable,22,3.1,0.3,3.3,1,"Vitamin D, Vitamin B2, Vitamin B3","Selenium, Potassium, Phosphorus",
button mushroom,Vegetable,22,3.1,0.3,3.3,1,"Vitamin D, Vitamin B2, Vitamin B3","Selenium, Potassium, Phosphorus",
oyster mushroom,Vegetable,33,3.3,0.4,6.1,2.3,"Vitamin D, Vitamin B3, Vitamin B5","Iron, Potassium, Phosphorus",
peas,Vegetable,81,5.4,0.4,14.5,5.1,"Vitamin C, Vitamin K, Vitamin B1","Iron, Manganese, Folate",fresh green peas
corn,Vegetable,86,3.3,1.4,19,2.7,"Vitamin C, Vitamin B1, Vitamin B5","Magnesium, Phosphorus, Folate",sweet corn
baby corn,Vegetable,26,1.9,0.2,5.6,2.9,"Vitamin C, Vitamin B1","Iron, Phosphorus, Potassium",
raw banana,Vegetable,89,1.3,0.2,22,2.6,"Vitamin C, Vitamin B6","Potassium, Magnesium",also called kachha kela
raw papaya,Vegetable,32,1.3,0.1,7.2,0.9,"Vitamin C, Vitamin A","Potassium, Calcium, Magnesium",also called kachha papita
raw mango,Vegetable,60,0.5,0.3,14.9,1.6,"Vitamin C, Vitamin B6","Potassium, Calcium",also called kacha aam or totapuri
jackfruit,Vegetable,95,1.7,0.6,23.2,1.5,"Vitamin C, Vitamin B6, Vitamin A","Potassium, Calcium, Magnesium",also called kathal - used as vegetable when unripe
lotus stem,Vegetable,74,2.6,0.1,17.2,4.9,"Vitamin C, Vitamin B6, Vitamin B9","Potassium, Copper, Iron",also called kamal kakdi
raw jackfruit,Vegetable,51,1.5,0.4,11,1.5,"Vitamin C, Vitamin B6","Potassium, Calcium, Magnesium",unripe jackfruit used as vegetable
garlic,Aromatic,149,6.4,0.5,33.1,2.1,"Vitamin C, Vitamin B6","Manganese, Calcium, Phosphorus",
ginger,Aromatic,80,1.8,0.8,18,2,"Vitamin B6, Vitamin C","Magnesium, Manganese, Potassium",
green chilli,Aromatic,40,2,0.2,9,1.5,"Vitamin C, Vitamin A, Vitamin B6","Potassium, Iron",
red chilli,Aromatic,40,1.9,0.4,8.8,1.5,"Vitamin C, Vitamin A","Potassium, Iron",fresh red chilli
lemon,Fruit,29,1.1,0.3,9.3,2.8,"Vitamin C, Vitamin B6, Vitamin B5","Potassium, Calcium, Iron",
lime,Fruit,30,0.7,0.2,10.5,2.8,"Vitamin C, Vitamin B6","Calcium, Iron, Potassium",
raw tamarind,Aromatic,239,2.8,0.6,62.5,5.1,"Vitamin C, Vitamin B1, Vitamin B3","Iron, Potassium, Calcium, Magnesium",imli
tamarind paste,Aromatic,239,2.8,0.6,62.5,5.1,"Vitamin C, Vitamin B1","Iron, Potassium, Magnesium",concentrated tamarind
kokum,Fruit,45,0.5,0.5,10,2.1,Vitamin C,"Calcium, Iron, Potassium",dried garcinia indica
raw jackfruit seeds,Vegetable,98,6.6,0.4,18.3,1.5,"Vitamin B1, Vitamin B2","Calcium, Iron, Phosphorus",
radish,Vegetable,16,0.7,0.1,3.4,1.6,"Vitamin C, Vitamin B6, Folate","Potassium, Calcium, Phosphorus",also called mooli
turnip,Vegetable,28,0.9,0.1,6.4,1.8,"Vitamin C, Vitamin B6, Folate","Potassium, Calcium, Manganese",also called shalgam
beetroot,Vegetable,43,1.6,0.2,9.6,2.8,"Vitamin C, Vitamin B9, Vitamin B6","Iron, Potassium, Manganese",
zucchini,Vegetable,17,1.2,0.3,3.1,1,"Vitamin C, Vitamin B6, Vitamin A","Potassium, Manganese, Folate",
cucumber,Vegetable,15,0.7,0.1,3.6,0.5,"Vitamin K, Vitamin C, Vitamin B5","Potassium, Magnesium",also called kheera
pumpkin,Vegetable,26,1,0.1,6.5,0.5,"Vitamin A, Vitamin C, Vitamin B2","Potassium, Copper, Manganese",also called kaddu
raw banana flower,Vegetable,51,1.6,0.6,9.9,5.7,"Vitamin C, Vitamin A","Calcium, Iron, Phosphorus",also called banana blossom or kele ka phool
elephant yam,Vegetable,118,1.2,0.1,27.9,4.1,"Vitamin C, Vitamin B6","Potassium, Magnesium",also called suran or jimikand
water chestnut,Vegetable,97,1.4,0.1,23.9,3,"Vitamin B6, Vitamin B2","Potassium, Manganese, Copper",also called singhara
raw plantain,Vegetable,89,1.3,0.2,22,2.6,"Vitamin C, Vitamin B6","Potassium, Magnesium",kachha kela variety
celery,Vegetable,16,0.7,0.2,3,1.6,"Vitamin K, Vitamin C, Vitamin B6","Potassium, Folate, Manganese",
leek,Vegetable,61,1.5,0.3,14.2,1.8,"Vitamin K, Vitamin C, Vitamin A","Manganese, Iron, Folate",
asparagus,Vegetable,20,2.2,0.1,3.9,2.1,"Vitamin K, Vitamin A, Vitamin C, Folate","Iron, Copper, Manganese",
artichoke,Vegetable,47,3.3,0.2,10.5,5.4,"Vitamin C, Vitamin K, Folate","Magnesium, Iron, Potassium",
bamboo shoots,Vegetable,27,2.6,0.3,5.2,2.2,"Vitamin B6, Vitamin E, Vitamin B2","Potassium, Manganese, Zinc",
raw coconut,Vegetable,354,3.3,33.5,15.2,9,"Vitamin C, Vitamin B1, Vitamin B3","Manganese, Copper, Iron",fresh coconut flesh
mango,Fruit,60,0.8,0.4,15,1.6,"Vitamin A, Vitamin C, Vitamin B6","Potassium, Copper, Folate",ripe alphonso or any variety
banana,Fruit,89,1.1,0.3,22.8,2.6,"Vitamin B6, Vitamin C, Vitamin B2","Potassium, Magnesium, Manganese",
apple,Fruit,52,0.3,0.2,13.8,2.4,"Vitamin C, Vitamin K, Vitamin B6","Potassium, Manganese",
grapes,Fruit,69,0.7,0.2,18.1,0.9,"Vitamin C, Vitamin K, Vitamin B6","Copper, Potassium, Manganese",
black grapes,Fruit,69,0.7,0.2,18.1,0.9,"Vitamin C, Vitamin K","Copper, Potassium, Iron",
watermelon,Fruit,30,0.6,0.2,7.6,0.4,"Vitamin A, Vitamin C, Vitamin B5","Potassium, Copper, Lycopene",
papaya,Fruit,43,0.5,0.3,10.8,1.7,"Vitamin C, Vitamin A, Folate","Potassium, Calcium, Magnesium",ripe papaya
pineapple,Fruit,50,0.5,0.1,13.1,1.4,"Vitamin C, Vitamin B1, Vitamin B6","Manganese, Copper, Potassium",
pomegranate,Fruit,83,1.7,1.2,18.7,4,"Vitamin C, Vitamin K, Folate","Potassium, Copper, Manganese",also called anar
guava,Fruit,68,2.6,1,14.3,5.4,"Vitamin C, Vitamin A, Vitamin B6, Folate","Potassium, Copper, Manganese",
orange,Fruit,47,0.9,0.1,11.8,2.4,"Vitamin C, Vitamin B1, Folate","Potassium, Calcium, Phosphorus",
sweet lime,Fruit,43,0.8,0.3,9.3,1.8,"Vitamin C, Vitamin A","Potassium, Calcium",also called mosambi
kiwi,Fruit,61,1.1,0.5,14.7,3,"Vitamin C, Vitamin K, Vitamin E","Potassium, Copper, Folate",
strawberry,Fruit,32,0.7,0.3,7.7,2,"Vitamin C, Vitamin B9, Vitamin B6","Manganese, Potassium, Iron",
pear,Fruit,57,0.4,0.1,15.2,3.1,"Vitamin C, Vitamin K, Vitamin B2","Copper, Potassium, Boron",
peach,Fruit,39,0.9,0.3,9.5,1.5,"Vitamin C, Vitamin A, Vitamin E","Potassium, Copper, Niacin",
plum,Fruit,46,0.7,0.3,11.4,1.4,"Vitamin C, Vitamin A, Vitamin K","Potassium, Copper, Manganese",also called aloo bukhara
fig,Fruit,74,0.8,0.3,19.2,2.9,"Vitamin B6, Vitamin K, Vitamin B2","Potassium, Calcium, Magnesium, Iron",fresh anjeer
dates,Fruit,277,1.8,0.2,74.9,6.7,"Vitamin B6, Vitamin K, Vitamin B5","Potassium, Magnesium, Copper, Iron",khajur
coconut water,Fruit,19,0.7,0.2,3.7,1.1,"Vitamin C, Vitamin B2, Vitamin B3","Potassium, Sodium, Manganese",nariyal paani
amla,Fruit,44,0.9,0.6,10.2,4.3,"Vitamin C, Vitamin A, Vitamin E","Calcium, Iron, Phosphorus",Indian gooseberry
jamun,Fruit,62,0.7,0.2,14,0.6,"Vitamin C, Vitamin A, Vitamin B6","Iron, Calcium, Potassium",Java plum or black plum
chickoo,Fruit,83,0.4,1.1,19.9,5.3,"Vitamin A, Vitamin C, Vitamin B3","Potassium, Iron, Calcium",sapota or sapodilla
lychee,Fruit,66,0.8,0.4,16.5,1.3,"Vitamin C, Vitamin B6, Vitamin B2","Copper, Potassium, Phosphorus",
jackfruit ripe,Fruit,95,1.7,0.6,23.2,1.5,"Vitamin C, Vitamin B6, Vitamin A","Potassium, Calcium, Magnesium",ripe kathal
custard apple,Fruit,101,1.7,0.6,25.2,4.4,"Vitamin C, Vitamin B6, Vitamin B2","Potassium, Magnesium, Iron",sitaphal or shareefa
passion fruit,Fruit,97,2.2,0.7,23.4,10.4,"Vitamin C, Vitamin A, Vitamin B2","Iron, Potassium, Phosphorus",
starfruit,Fruit,31,1,0.3,6.7,2.8,"Vitamin C, Vitamin B5, Vitamin B2","Potassium, Copper, Phosphorus",carambola or kamrakh
wood apple,Fruit,134,7.1,3.7,18.1,5,"Vitamin C, Vitamin A, Vitamin B1","Calcium, Iron, Phosphorus",bael or Bengal quince
mulberry,Fruit,43,1.4,0.4,9.8,1.7,"Vitamin C, Vitamin E, Vitamin K","Iron, Potassium, Calcium",shahtoot
tamarind fruit,Fruit,239,2.8,0.6,62.5,5.1,"Vitamin C, Vitamin B1, Vitamin B3","Iron, Potassium, Calcium, Magnesium",imli
gooseberry,Fruit,44,0.9,0.6,10.2,4.3,"Vitamin C, Vitamin A, Vitamin E","Calcium, Iron, Phosphorus",amla
avocado,Fruit,160,2,14.7,8.5,6.7,"Vitamin K, Vitamin E, Vitamin C, Folate","Potassium, Copper, Magnesium",
melon,Fruit,34,0.8,0.2,8.2,0.9,"Vitamin A, Vitamin C, Vitamin B6","Potassium, Copper, Folate",kharbooja
muskmelon,Fruit,34,0.8,0.2,8.2,0.9,"Vitamin A, Vitamin C, Vitamin B6","Potassium, Copper, Folate",kharbooja
cranberry,Fruit,46,0.4,0.1,12.2,4.6,"Vitamin C, Vitamin E, Vitamin K","Manganese, Copper",
raspberry,Fruit,52,1.2,0.7,11.9,6.5,"Vitamin C, Vitamin K, Vitamin E","Manganese, Copper, Iron",
blueberry,Fruit,57,0.7,0.3,14.5,2.4,"Vitamin C, Vitamin K, Vitamin B6","Manganese, Copper, Potassium",
red lentils,Dal,116,9,0.4,20.1,7.9,"Vitamin B1, Vitamin B9, Vitamin B6","Iron, Potassium, Phosphorus, Zinc",masoor dal cooked
red lentils raw,Dal,352,25.8,1.1,63.4,10.7,"Vitamin B1, Vitamin B9, Vitamin B6","Iron, Potassium, Phosphorus, Zinc",masoor dal raw
split pigeon pea,Dal,116,8.6,0.3,21.1,8.5,"Vitamin B1, Vitamin B9, Vitamin B3","Iron, Potassium, Phosphorus, Magnesium",toor dal or arhar dal cooked
split pigeon pea raw,Dal,335,22.3,1.5,62.7,15,"Vitamin B1, Vitamin B9, Vitamin B3","Iron, Potassium, Phosphorus, Magnesium",toor dal or arhar dal raw
split chickpea,Dal,164,8.9,2.6,27.8,4.5,"Vitamin B1, Vitamin B2, Vitamin B9","Iron, Potassium, Phosphorus, Magnesium",chana dal cooked
split chickpea raw,Dal,364,20.1,5.6,60.4,7.6,"Vitamin B1, Vitamin B2, Vitamin B9","Iron, Potassium, Phosphorus, Magnesium",chana dal raw
split black gram,Dal,105,7.6,0.4,18.3,7,"Vitamin B1, Vitamin B9, Vitamin B6","Iron, Potassium, Magnesium, Zinc",urad dal cooked
split black gram raw,Dal,341,25.2,1.6,59,18.3,"Vitamin B1, Vitamin B9, Vitamin B6","Iron, Potassium, Magnesium, Zinc",urad dal raw
split green gram,Dal,105,7,0.4,19.1,7.6,"Vitamin B1, Vitamin B9, Vitamin C","Iron, Potassium, Magnesium, Zinc",moong dal cooked
split green gram raw,Dal,347,24,1.2,62.6,16.3,"Vitamin B1, Vitamin B9, Vitamin C","Iron, Potassium, Magnesium, Zinc",moong dal raw
whole green gram,Dal,105,7,0.4,19.1,7.6,"Vitamin B1, Vitamin B9, Vitamin C","Iron, Potassium, Magnesium, Zinc",whole moong cooked
whole black gram,Dal,339,25.2,1.6,58.9,18.3,"Vitamin B1, Vitamin B9, Vitamin B6","Iron, Potassium, Magnesium, Zinc",whole urad raw
kidney beans,Dal,127,8.7,0.5,22.8,6.4,"Vitamin B1, Vitamin B9, Vitamin K","Iron, Potassium, Phosphorus, Magnesium",rajma cooked
kidney beans raw,Dal,333,23.6,0.8,60,15.2,"Vitamin B1, Vitamin B9, Vitamin K","Iron, Potassium, Phosphorus, Magnesium",rajma raw
chickpeas,Dal,164,8.9,2.6,27.4,7.6,"Vitamin B1, Vitamin B9, Vitamin B6","Iron, Potassium, Phosphorus, Manganese",kabuli chana cooked
chickpeas raw,Dal,364,19.3,6,60.7,17.4,"Vitamin B1, Vitamin B9, Vitamin B6","Iron, Potassium, Phosphorus, Manganese",kabuli chana raw
black chickpeas,Dal,164,9.4,2.6,27.4,7.6,"Vitamin B1, Vitamin B9, Vitamin B6","Iron, Potassium, Phosphorus, Manganese",kala chana cooked
black eyed peas,Dal,116,7.7,0.5,20.7,6.5,"Vitamin B1, Vitamin B9, Vitamin B6","Iron, Potassium, Magnesium, Zinc",lobia cooked
moth beans,Dal,343,23.6,1.6,61.5,10.3,"Vitamin B1, Vitamin B9, Vitamin C","Iron, Potassium, Phosphorus, Zinc",matki raw
horse gram,Dal,321,22,0.5,57.2,5.3,"Vitamin B1, Vitamin B2, Vitamin B3","Iron, Calcium, Phosphorus, Potassium",kulthi dal raw
field beans,Dal,334,24.9,1.5,60.1,8.7,"Vitamin B1, Vitamin B9, Vitamin B6","Iron, Potassium, Phosphorus, Magnesium",val dal or surti papdi raw
flat beans,Dal,334,24.9,1.5,60.1,8.7,"Vitamin B1, Vitamin B9, Vitamin B6","Iron, Potassium, Phosphorus",papdi raw
peas dried,Dal,339,24.6,1.2,63.7,25.5,"Vitamin B1, Vitamin B9, Vitamin B6","Iron, Potassium, Phosphorus, Zinc",dried white peas raw
lentils,Dal,116,9,0.4,20.1,7.9,"Vitamin B1, Vitamin B9, Vitamin B6","Iron, Potassium, Phosphorus, Zinc",generic lentils cooked
basmati rice cooked,Cereal,130,2.7,0.3,28.1,0.4,"Vitamin B1, Vitamin B3","Manganese, Phosphorus, Magnesium",
basmati rice raw,Cereal,349,7.9,0.6,77.1,1.4,"Vitamin B1, Vitamin B3, Vitamin B6","Manganese, Phosphorus, Magnesium",
brown rice cooked,Cereal,123,2.7,1,25.6,1.8,"Vitamin B1, Vitamin B3, Vitamin B6","Manganese, Phosphorus, Magnesium, Selenium",
brown rice raw,Cereal,370,7.9,2.9,77.2,3.5,"Vitamin B1, Vitamin B3, Vitamin B6","Manganese, Phosphorus, Magnesium, Selenium",
white rice cooked,Cereal,130,2.7,0.3,28.1,0.4,"Vitamin B1, Vitamin B3","Manganese, Phosphorus",
whole wheat flour,Cereal,340,13.2,2.5,72.6,10.7,"Vitamin B1, Vitamin B3, Vitamin B6, Vitamin E","Iron, Manganese, Phosphorus, Magnesium",atta
refined flour,Cereal,364,10.3,1,76.3,2.7,"Vitamin B1, Vitamin B3","Iron, Calcium, Phosphorus",maida
semolina,Cereal,360,12.7,1.1,73.8,3.9,"Vitamin B1, Vitamin B3, Vitamin B6","Iron, Magnesium, Phosphorus, Zinc",suji or rawa
chickpea flour,Cereal,387,22.4,6.7,57.8,10.8,"Vitamin B1, Vitamin B6, Vitamin B9","Iron, Potassium, Phosphorus, Zinc, Manganese",besan or gram flour
oats,Cereal,389,17,7,66.3,10.6,"Vitamin B1, Vitamin B5, Vitamin B9","Manganese, Phosphorus, Magnesium, Iron, Zinc",rolled oats
oats cooked,Cereal,71,2.5,1.5,12,1.7,"Vitamin B1, Vitamin B5","Manganese, Phosphorus, Magnesium",
poha,Cereal,333,7,1.5,73,1.5,"Vitamin B1, Vitamin B3","Iron, Magnesium, Phosphorus",flattened rice or beaten rice
puffed rice,Cereal,402,6.3,0.5,89.9,1,"Vitamin B1, Vitamin B3","Iron, Phosphorus",murmura or muri
corn flour,Cereal,381,0.3,0.1,91.3,0.9,Vitamin B3,"Iron, Phosphorus, Zinc",cornstarch
corn meal,Cereal,362,8.1,3.6,76.8,7.3,"Vitamin B3, Vitamin B1, Vitamin B6","Iron, Phosphorus, Magnesium, Manganese",makkai ka atta
sorghum flour,Cereal,349,11.3,3.3,72.9,6.3,"Vitamin B1, Vitamin B3, Vitamin B6","Iron, Phosphorus, Magnesium, Potassium",jowar atta
millet flour,Cereal,378,11,4.2,72.9,8.5,"Vitamin B3, Vitamin B1, Vitamin B9","Iron, Phosphorus, Magnesium, Zinc",bajra atta
finger millet flour,Cereal,336,7.3,1.5,72,3.6,"Vitamin B1, Vitamin B3, Vitamin B2","Calcium, Iron, Phosphorus, Magnesium",ragi or nachni atta
quinoa cooked,Cereal,120,4.4,1.9,21.3,2.8,"Vitamin B1, Vitamin B2, Vitamin B6, Vitamin E","Manganese, Phosphorus, Magnesium, Iron, Zinc",
